Time,Rain
1990-02-28 19:16:00,0.0
1990-02-28 19:16:59,1.667
1990-02-28 19:18:00,1.667
1990-02-28 19:18:59,1.111
1990-02-28 19:20:00,1.111
1990-02-28 19:21:00,1.111
1990-02-28 19:21:59,3.333
1990-02-28 19:23:00,0.833
1990-02-28 19:23:59,0.833
1990-02-28 19:25:00,0.833
1990-02-28 19:25:59,0.833
1990-02-28 19:27:00,0.101
1990-02-28 19:27:59,0.101
1990-02-28 19:29:00,0.101
1990-02-28 19:30:00,0.101
1990-02-28 19:30:59,0.101
1990-02-28 19:32:00,0.101
1990-02-28 19:32:59,0.101
1990-02-28 19:34:00,0.101
1990-02-28 19:34:59,0.101
1990-02-28 19:36:00,0.101
1990-02-28 19:36:59,0.101
1990-02-28 19:38:00,0.101
1990-02-28 19:38:59,0.101
1990-02-28 19:39:59,0.101
1990-02-28 19:41:00,0.101
1990-02-28 19:41:59,0.101
1990-02-28 19:43:00,0.101
1990-02-28 19:43:59,0.101
1990-02-28 19:45:00,0.101
1990-02-28 19:45:59,0.101